Kategorie: Alle Kategorien

Monat,Big Data: (Weltweit)
2004-01,1
2004-02,2
2004-03,2
2004-04,2
2004-05,2
2004-06,2
2004-07,3
2004-08,2
2004-09,2
2004-10,2
2004-11,3
2004-12,2
2005-01,2
2005-02,2
2005-03,2
2005-04,2
2005-05,2
2005-06,2
2005-07,2
2005-08,1
2005-09,1
2005-10,3
2005-11,1
2005-12,2
2006-01,1
2006-02,2
2006-03,1
2006-04,1
2006-05,2
2006-06,2
2006-07,2
2006-08,2
2006-09,3
2006-10,2
2006-11,2
2006-12,2
2007-01,2
2007-02,1
2007-03,3
2007-04,2
2007-05,1
2007-06,2
2007-07,2
2007-08,2
2007-09,2
2007-10,3
2007-11,3
2007-12,2
2008-01,2
2008-02,2
2008-03,2
2008-04,2
2008-05,3
2008-06,2
2008-07,2
2008-08,3
2008-09,5
2008-10,3
2008-11,2
2008-12,3
2009-01,2
2009-02,2
2009-03,2
2009-04,2
2009-05,3
2009-06,2
2009-07,1
2009-08,2
2009-09,2
2009-10,2
2009-11,3
2009-12,2
2010-01,2
2010-02,2
2010-03,2
2010-04,2
2010-05,3
2010-06,2
2010-07,2
2010-08,2
2010-09,3
2010-10,2
2010-11,3
2010-12,2
2011-01,3
2011-02,3
2011-03,4
2011-04,4
2011-05,4
2011-06,5
2011-07,5
2011-08,6
2011-09,7
2011-10,9
2011-11,11
2011-12,10
2012-01,13
2012-02,19
2012-03,20
2012-04,22
2012-05,24
2012-06,25
2012-07,24
2012-08,26
2012-09,29
2012-10,34
2012-11,33
2012-12,31
2013-01,36
2013-02,40
2013-03,46
2013-04,51
2013-05,58
2013-06,51
2013-07,57
2013-08,49
2013-09,58
2013-10,61
2013-11,59
2013-12,52
2014-01,63
2014-02,69
2014-03,65
2014-04,73
2014-05,69
2014-06,66
2014-07,66
2014-08,64
2014-09,76
2014-10,75
2014-11,68
2014-12,67
2015-01,71
2015-02,79
2015-03,81
2015-04,80
2015-05,74
2015-06,77
2015-07,74
2015-08,69
2015-09,81
2015-10,82
2015-11,79
2015-12,69
2016-01,72
2016-02,86
2016-03,81
2016-04,80
2016-05,79
2016-06,78
2016-07,72
2016-08,68
2016-09,82
2016-10,83
2016-11,88
2016-12,76
2017-01,76
2017-02,90
2017-03,95
2017-04,88
2017-05,92
2017-06,82
2017-07,78
2017-08,77
2017-09,87
2017-10,88
2017-11,96
2017-12,75
2018-01,83
2018-02,81
2018-03,85
2018-04,82
2018-05,82
2018-06,75
2018-07,74
2018-08,75
2018-09,85
2018-10,100
2018-11,84
2018-12,68
2019-01,73
2019-02,76
2019-03,78
2019-04,76
2019-05,80
2019-06,74
2019-07,70
2019-08,69
2019-09,79
2019-10,79
2019-11,94
2019-12,71
2020-01,69
2020-02,72
2020-03,65
2020-04,69
2020-05,69
2020-06,69
2020-07,70
2020-08,61
2020-09,71
2020-10,66
2020-11,60
2020-12,58
2021-01,58
2021-02,60
2021-03,62
2021-04,62
2021-05,60
2021-06,60
2021-07,55
2021-08,51
2021-09,60
2021-10,63
2021-11,71
2021-12,61
2022-01,64
2022-02,76
2022-03,80
2022-04,77
2022-05,76
2022-06,68
2022-07,60
2022-08,61
2022-09,72
2022-10,72
