Kategorie: Alle Kategorien

Monat,Data visualization: (Weltweit)
2004-01,28
2004-02,27
2004-03,60
2004-04,56
2004-05,50
2004-06,26
2004-07,22
2004-08,15
2004-09,41
2004-10,27
2004-11,14
2004-12,31
2005-01,24
2005-02,25
2005-03,20
2005-04,18
2005-05,22
2005-06,36
2005-07,33
2005-08,29
2005-09,28
2005-10,26
2005-11,20
2005-12,16
2006-01,14
2006-02,24
2006-03,22
2006-04,15
2006-05,29
2006-06,13
2006-07,16
2006-08,20
2006-09,15
2006-10,22
2006-11,20
2006-12,15
2007-01,13
2007-02,16
2007-03,17
2007-04,15
2007-05,17
2007-06,17
2007-07,16
2007-08,22
2007-09,18
2007-10,22
2007-11,18
2007-12,21
2008-01,18
2008-02,16
2008-03,18
2008-04,20
2008-05,22
2008-06,16
2008-07,18
2008-08,16
2008-09,23
2008-10,18
2008-11,17
2008-12,20
2009-01,18
2009-02,20
2009-03,22
2009-04,24
2009-05,23
2009-06,25
2009-07,25
2009-08,24
2009-09,25
2009-10,23
2009-11,25
2009-12,23
2010-01,23
2010-02,27
2010-03,27
2010-04,25
2010-05,22
2010-06,23
2010-07,23
2010-08,21
2010-09,27
2010-10,29
2010-11,24
2010-12,24
2011-01,21
2011-02,27
2011-03,25
2011-04,28
2011-05,25
2011-06,23
2011-07,22
2011-08,23
2011-09,28
2011-10,26
2011-11,26
2011-12,24
2012-01,26
2012-02,27
2012-03,33
2012-04,28
2012-05,27
2012-06,26
2012-07,27
2012-08,25
2012-09,28
2012-10,31
2012-11,31
2012-12,24
2013-01,31
2013-02,32
2013-03,30
2013-04,31
2013-05,33
2013-06,30
2013-07,31
2013-08,30
2013-09,32
2013-10,35
2013-11,32
2013-12,29
2014-01,34
2014-02,40
2014-03,37
2014-04,37
2014-05,35
2014-06,34
2014-07,33
2014-08,31
2014-09,37
2014-10,39
2014-11,38
2014-12,33
2015-01,36
2015-02,38
2015-03,46
2015-04,40
2015-05,41
2015-06,40
2015-07,38
2015-08,36
2015-09,44
2015-10,42
2015-11,41
2015-12,37
2016-01,35
2016-02,46
2016-03,45
2016-04,46
2016-05,44
2016-06,45
2016-07,36
2016-08,38
2016-09,46
2016-10,46
2016-11,52
2016-12,43
2017-01,50
2017-02,58
2017-03,58
2017-04,56
2017-05,49
2017-06,51
2017-07,52
2017-08,50
2017-09,53
2017-10,58
2017-11,59
2017-12,46
2018-01,52
2018-02,58
2018-03,57
2018-04,59
2018-05,56
2018-06,52
2018-07,49
2018-08,54
2018-09,58
2018-10,60
2018-11,59
2018-12,50
2019-01,59
2019-02,66
2019-03,63
2019-04,68
2019-05,59
2019-06,60
2019-07,66
2019-08,64
2019-09,70
2019-10,71
2019-11,70
2019-12,61
2020-01,65
2020-02,71
2020-03,68
2020-04,77
2020-05,69
2020-06,70
2020-07,67
2020-08,58
2020-09,67
2020-10,60
2020-11,52
2020-12,51
2021-01,52
2021-02,55
2021-03,55
2021-04,60
2021-05,59
2021-06,57
2021-07,53
2021-08,51
2021-09,58
2021-10,61
2021-11,61
2021-12,57
2022-01,75
2022-02,100
2022-03,89
2022-04,88
2022-05,81
2022-06,84
2022-07,85
2022-08,85
2022-09,90
2022-10,90
